zotero_key,pub_date,emission_title,Date,Item Type,Title,Guest,Publication Title,Url,hashtag,Publisher,twitch_id
LYINXRDI,,,2022-03-20,tvBroadcast,L'interview face cachée (Présidentielle 2022) : Zemmour,"Zemmour, Eric",L'interview face cachée (Présidentielle 2022),https://www.youtube.com/watch?v=RkH3QjL7O80,,Youtube [HugoDécrypte],
EQIAKBZR,,,2022-03-24,tvBroadcast,L'interview face cachée (Présidentielle 2022) : Arthaud,"Arthaud, Nathalie",L'interview face cachée (Présidentielle 2022),https://www.youtube.com/watch?v=AOZk2Yh79QY,,Youtube [HugoDécrypte],
JK5SRWLV,,,2022-03-28,tvBroadcast,L'interview face cachée (Présidentielle 2022) : Roussel,"Roussel, Fabien",L'interview face cachée (Présidentielle 2022),https://www.youtube.com/watch?v=1HFbzdgFA8I,,Youtube [HugoDécrypte],
WJS89VWV,,,2022-03-14,tvBroadcast,La France face à la guerre,"Hidalgo, Anne; Jadot, Yannick; Le Pen, Marine; Macron, Emmanuel; Mélenchon, Jean-Luc; Pécresse, Valérie; Roussel, Fabien; Zemmour, Eric",La France face à la guerre,,,TF1,
D9EF4PGN,,,2022-04-12,tvBroadcast,Le JT de 20H : Le Pen,"Le Pen, Marine",Le JT de 20H,https://www.tf1.fr/tf1/jt-20h/videos/le-20-heures-du-12-avril-2022-06898355.html,,TF1,
9HXBPR6W,,,2022-03-23,tvBroadcast,19h45 - M6 : Macron,"Macron, Emmanuel",19h45 - M6,,"#Macron19h45, #avecvous, #MacronDegage2022, #Macron2022, #5ansdeplus, #StopMacron",M6,
6PTMDG39,,,2021-11-18,tvBroadcast,20h22 : Jadot,"Jadot, Yannick",20h22,,#20h22|(spécifique) #Le20h|#JT20H|(génériques),France 2,
6GBSNJZ5,,,2021-12-14,tvBroadcast,20h22 : Roussel,"Roussel, Fabien",20h22,,#20h22|(spécifique) #Le20h|#JT20H|(génériques),France 2,
F52LTPIV,,,2022-02-07,tvBroadcast,20h22 : Le Pen,"Le Pen, Marine",20h22,,#20h22|(spécifique) #Le20h|#JT20H|(génériques),France 2,
SPXMJZSE,,,2022-02-15,tvBroadcast,20h22 : Pécresse,"Pécresse, Valérie",20h22,,#20h22|(spécifique) #Le20h|#JT20H|(génériques)|#Pécresse|#Pécresse2022,France 2,
LL4V2XDP,,,2022-03-18,tvBroadcast,ADN INA : Jadot,"Jadot, Yannick",ADN INA,,,INA,
CGGD58SX,,,2022-03-19,tvBroadcast,ADN INA : Le Pen,"Le Pen, Marine",ADN INA,,,INA,
BRM9GJUE,,,2022-03-20,tvBroadcast,ADN INA : Roussel,"Roussel, Fabien",ADN INA,,,INA,
85RZQKGY,,,2022-03-21,tvBroadcast,ADN INA : Lassalle,"Lassalle, Jean",ADN INA,,,INA,
UWIQVSNV,,,2022-03-22,tvBroadcast,ADN INA : Pécresse,"Pécresse, Valérie",ADN INA,,,INA,
QIYVG8J8,,,2022-03-23,tvBroadcast,ADN INA : Arthaud,"Arthaud, Nathalie",ADN INA,,,INA,
FX6Z2TI3,,,2022-03-24,tvBroadcast,ADN INA : Mélenchon,"Mélenchon, Jean-Luc",ADN INA,,,INA,
3C3R2Y67,,,2022-03-26,tvBroadcast,ADN INA : Dupont-Aignan,"Dupont-Aignan, Nicolas",ADN INA,,,INA,
